file,level,label_name,
targets,year,calendar year,
targets,nyear,year,
targets,agerange,age,
targets,sex,sex,
targets,tpopr,US population,
targets,tpoprx,Total pop DE,
targets,chdhac1p,DH (1-10) pop,
targets,chdhacp,DH (11-17) pop,
targets,tpopdhwostrk,CHD pop,
targets,nndiabetes,Diabetes prevalence (DE),
targets,nnhf,NIHF prevalence (DE),
targets,pnchd,Incident CHD,
targets,diabinc,Incident diabetes (DE),
targets,hfinc,Incident NIHF (DE),
targets,incihf,Incident IHF,
targets,incihfdh,Incident IHF (DH),
targets,incihfbrdh,Incident IHF (BrDH),
targets,incnihf,Incident NIHF,
targets,incnihfdh,Incident NIHF (DH),
targets,incnihfbrdh,Incident NIHF (BrDH),
targets,cnwevt,Total events,
targets,totmi,Total MI,
targets,brgcvd12,Incident MI,
targets,dhmi,DH MI,
targets,dhmi1,DH First MI (Angina),
targets,dhmif,First MI,
targets,dhmi2,DH 2nd MI,
targets,dhmire,DH reMI,
targets,dhmistrok,DH MI(stroke),
targets,totar,Total arrest,
targets,brgcvdarr,Incident arrest,
targets,totang,Total angina,
targets,totstrokes,Total stroke,
targets,totstrok,Total ischemic stroke ,
targets,astrokde,Incident IS,
targets,dhstrok1,First IS (DH),
targets,dhstrokre,Recurrent stroke,
targets,tothstrok,Total hem stroke,
targets,ahstrokde,Incident HS,
targets,dhhstrok1,First HS (DH),
targets,dhhstrokre,Recurrent HS,
targets,tothf,Total HF ,
targets,totihf,Total IHF ,
targets,brgcvdihf,Incident IHF (Br) ,
targets,dhihft,DH IHF,
targets,dhihf1,First IHF (DH),
targets,totnihf,Total NIHF ,
targets,brgcvdnihf,Incident NIHF (Br),
targets,dhnihft,DH NIHF ,
targets,dhnihf1,First NIHF (DH) ,
targets,nncabg1,AMI+CABG ,
targets,nnptca1,AMI+PCI ,
targets,nncabg2,Isolated PCI ,
targets,nnptca2,Isolated CABG ,
targets,brgcvdptca,AMI+PCI (Bridge),
targets,brgcvdcabg,AMI+CABG (Bridge),
targets,brgcvd12nohf,Incident MI (No HF),
targets,brgcvd12hf,Incident MI (HF) ,
targets,astnod,Total deaths ,
targets,tnonchd,Non-CVD death ,
targets,astnodo,Non-CVD death (DE) ,
targets,tnodnonh,Non-CVD death (DH) ,
targets,chdasd,CHD Deaths,
targets,newtde,CHD deaths (Bridge) ,
targets,chdhac,Acute CHD death (DH 11-17) ,
targets,chdhac1,Acute CHD death (DH 1-10) ,
targets,totdeami,Acute CHD deaths (MI) ,
targets,totbdgmi,Bridge MI deaths,
targets,totdeaar,Acute CHD deaths (Arrest)  ,
targets,totbdgar,Bridge arrest in-hospital deaths,
targets,arrph,Arrest deaths pre-hospital ,
targets,totdearv,Acute CHD deaths (Revasc)  ,
targets,chdhc,Chronic CHD death ,
targets,totstrokdeath,Total stroke deaths,
targets,tdeastrok,Total IS deaths ,
targets,totbdgis,Acute IS deaths ,
targets,tdeahstrok,Total HS deaths ,
targets,totbdghs,Acute HS deaths ,
targets,totdeahf,Total acute deaths (with HF) ,
targets,totdeaihf,Total acute deaths (with IHF),
targets,totbdgihf,Bridge IHF deaths,
targets,totdhdeaihf,DH IHF deaths) ,
targets,chdhf,Chronic IHF deaths ,
targets,chdisolihf,Isolated IHF deaths ,
targets,totdeanihf,Total acute deaths (with NIHF)  ,
targets,totbdgnihf,Bridge NIHF deaths,
targets,totdhdeanihf,DH NIHF deaths ,
targets,chdisolnihf,Isolated NIHF deaths ,
targets,cvdpop1,DH angina,
targets,cvdpop2,DH angina_hf,
targets,cvdpop3,DH mi,
targets,cvdpop4,DH mi_hf,
targets,cvdpop5,DH tbd,
targets,cvdpop6,DH tbd,
targets,cvdpop7,DH stroke_hf,
targets,cvdpop8,DH mi_stroke_hf,
targets,cvdpop9,DH stroke  ,
targets,cvdpop10,DH mi_stroke ,
targets,cvdpop11,BrDH mi,
targets,cvdpop12,BrDH tbd,
targets,cvdpop13,BrDH arrest  ,
targets,cvdpop14,BrDH angina,
targets,cvdpop15,BrDH mirev,
targets,cvdpop16,BrDH is,
targets,cvdpop17,BrDH hs,
targets,cvdpop18,BrDH revasc,
targets,cvdpop19,BrDH mi_hf,
targets,cvdpop20,BrDH arrest _hf ,
targets,cvdpop21,BrDH angina_hf,
targets,cvdpop22,BrDH mirev_hf,
targets,cvdpop23,BrDH is_hf,
targets,cvdpop24,BrDH hs_hf,
targets,cvdpop25,BrDH revasc_hf,
totresults,year,calendar year,
totresults,nyear,year,
totresults,agerange,age,
totresults,sex,sex,
totresults,cvdbrangt,BR  angina,
totresults,cvdbrang,BR  angina no hf,
totresults,cvdbranghf,BR  angina hf,
totresults,cvdbrmit,BR  MI,
totresults,cvdbrmi,BR  MI no hf,
totresults,cvdbrmihf,BR  MI hf,
totresults,cvdbrist,BR  IS,
totresults,cvdbris,BR  IS no hf,
totresults,cvdbrishf,BR  IS hf,
totresults,cvdbrhst,BR  HS,
totresults,cvdbrhs,BR  HS no hf,
totresults,cvdbrhshf,BR  HS hf,
totresults,cvdbrhft,BR  HF,
totresults,cvdbrihf,BR  IHF,
totresults,cvdbrnihf,BR  NIHF,
totresults,surbrangt,BR surv angina,
totresults,surbrang,BR surv angina no hf,
totresults,surbranghf,BR surv angina hf,
totresults,surbrmit,BR surv MI,
totresults,surbrmi,BR surv MI no hf,
totresults,surbrmihf,BR surv MI hf,
totresults,surbrist,BR surv IS,
totresults,surbris,BR surv IS no hf,
totresults,surbrishf,BR surv IS hf,
totresults,surbrhst,BR surv HS,
totresults,surbrhs,BR surv HS no hf,
totresults,surbrhshf,BR surv HS hf,
totresults,surbrhft,BR surv HF,
totresults,surbrihf,BR surv IHF,
totresults,surbrnihf,BR surv NIHF,
totresults,deabrangt,BR die angina,
totresults,deabrang,BR die angina no hf,
totresults,deabranghf,BR die angina hf,
totresults,deabrmit,BR die MI,
totresults,deabrmi,BR die MI no hf,
totresults,deabrmihf,BR die MI hf,
totresults,deabrist,BR die IS,
totresults,deabris,BR die IS no hf,
totresults,deabrishf,BR die IS hf,
totresults,deabrhst,BR die HS,
totresults,deabrhs,BR die HS no hf,
totresults,deabrhshf,BR die HS hf,
totresults,deabrhft,BR die HF,
totresults,deabrihf,BR die IHF,
totresults,deabrnihf,BR die NIHF,
totresults,cvdbrdhangt,BrDH  angina,
totresults,cvdbrdhang,BrDH  angina no hf,
totresults,cvdbrdhanghf,BrDH  angina hf,
totresults,cvdbrdhmit,BrDH  MI,
totresults,cvdbrdhmi,BrDH  MI no hf,
totresults,cvdbrdhmihf,BrDH  MI hf,
totresults,cvdbrdhist,BrDH  IS,
totresults,cvdbrdhis,BrDH  IS no hf,
totresults,cvdbrdhishf,BrDH  IS hf,
totresults,cvdbrdhhst,BrDH  HS,
totresults,cvdbrdhhs,BrDH  HS no hf,
totresults,cvdbrdhhshf,BrDH  HS hf,
totresults,cvdbrdhhft,BrDH  HF,
totresults,cvdbrdhihf,BrDH  IHF,
totresults,cvdbrdhnihf,BrDH  NIHF,
totresults,deabrdhmit,BrDH die MI,
totresults,deabrdhmi,BrDH die MI no hf,
totresults,deabrdhmihf,BrDH die MI hf,
totresults,deabrdhist,BrDH die IS hosp,
totresults,deabrdhis,BrDH die IS no hf hosp,
totresults,deabrdhishf,BrDH die IS hf hosp,
totresults,dersbrdhist,BrDH die IS comm,
totresults,dersbrdhis,BrDH die IS no hf comm,
totresults,dersbrdhishf,BrDH die IS hf comm,
totresults,deabrdhhst,BrDH die HS hosp,
totresults,deabrdhhs,BrDH die HS no hf hosp,
totresults,deabrdhhshf,BrDH die HS hf hosp,
totresults,dersbrdhhst,BrDH die HS comm,
totresults,dersbrdhhs,BrDH die HS comm,
totresults,dersbrdhhshf,BrDH die HS comm,
totresults,deabrdhhft,BrDH die HF ,
totresults,deabrdhihf,BrDH die IHF ,
totresults,deabrdhnihf,BrDH die NIHF ,
totresults,cvddhangt,DH  ang,
totresults,cvddhang,DH  ang no hf,
totresults,cvddhanghf,DH  ang hf,
totresults,cvddhmit,DH  MI,
totresults,cvddhmi,DH  MI no hf,
totresults,cvddhmihf,DH  MI hf,
totresults,cvddhist,DH  IS,
totresults,cvddhis,DH  IS no hf,
totresults,cvddhishf,DH  IS hf,
totresults,cvddhhst,DH  HS,
totresults,cvddhhs,DH  HS no hf,
totresults,cvddhhshf,DH  HS hf,
totresults,cvddhhft,DH  HF,
totresults,cvddhihf,DH  IHF,
totresults,cvddhnihf,DH  NIHF,
totresults,deadhmit,DH die MI,
totresults,deadhmi,DH die MI no hf,
totresults,deadhmihf,DH die MI hf,
totresults,deadhist,DH die IS hosp,
totresults,deadhis,DH die IS no hf hosp,
totresults,deadhishf,DH die IS hf hosp,
totresults,dersdhist,DH die IS comm,
totresults,dersdhis,DH die IS no hf comm,
totresults,dersdhishf,DH die IS hf comm,
totresults,deadhhst,DH die HS hosp,
totresults,deadhhs,DH die HS no hf hosp,
totresults,deadhhshf,DH die HS hf hosp,
totresults,dersdhhst,DH die HS comm,
totresults,dersdhhs,DH die HS comm,
totresults,dersdhhshf,DH die HS comm,
totresults,deadhhft,DH die HF ,
totresults,deadhihf,DH die IHF ,
totresults,deadhnihf,DH die NIHF ,
totresults,decdhhft,DH chronic HF death,
totresults,decdhihf,DH chronic IHF death,
totresults,decdhnihf,DH chronic NIHF death,
totresults,ntreatde,Number treated (DE),
totresults,ntreatdh,Number treated (DH),
totresults,bhcc,Non-cvd costs,
totresults,chdcst,Total CHD costs,
totresults,dh_intcst,DH intervention costs,
totresults,tpcage,Total prevention costs,
totresults,totstrok$,Total strokes costs,
totresults,ztpopr,Total QALY,
totresults,dhqaly,Total DH QALY,
totresults,depopdia,DE pop no diabetes,
totresults,depophf,DE pop no HF,
totresults,nchditot,,
totresults,nchdi,New intervened CHD cases,
totresults,intdiabinc,New intervened Diabetes cases,
totresults,inthfinc,New intervened HF cases,
totresults,cvdbrdhrevt,BrDH revasc,
totresults,cvdbrdhrev,BrDH revasc no hf,
totresults,cvdbrdhrevhf,BrDH revasc hf,
totresults,cvddhrevt,DH revasc,
totresults,cvddhrev,DH revasc no hf,
totresults,cvddhrevhf,DH revasc hf,
totresults,deabrdhrev,BrDH die revasc,
totresults,deabrdhisolihf,BrDH isol IHF death,
totresults,deabrdhisolnihf,BrDH isol NIHF death,
totresults,dehbrdhisolihf,NA,
totresults,deadhrev,DH die revasc,
totresults,deadhisolihf,DH isol IHF death,
totresults,deadhisolnihf,DH isol NIHF death,
totresults,dehdhisolihf,DH chronic isol IHF death,
totresults,cstnoevtdh,Cost no event DH,
totresults,cstmidh,Cost MI DH,
totresults,cstardh,Cost Arrest DH,
totresults,cstrevdh,Cost revasc DH,
totresults,cstmrevdh,Cost MIrevasc DH,
totresults,cststrdh,Cost IS DH,
totresults,csthstrdh,Cost HS DH,
totresults,cstihfdh,Cost IHF DH,
totresults,cstnihfdh,Cost NIHF DH,
totresults,csthfdh,Cost HF DH,
totresults,cstnoevt,Cost no event  ,
totresults,cstmi,Cost MI ,
totresults,cstar,Cost Arrest ,
totresults,cstmrev,Cost MIrevasc ,
totresults,cststr,Cost IS ,
totresults,csthstr,Cost HS ,
totresults,cststrall,Cost Stroke,
totresults,cstihf,Cost IHF ,
totresults,cstnihf,Cost NIHF ,
totresults,cstisolhf,Cost Isolated HF,
totresults,cstangbr,Cost angina Br,
totresults,cstmibr,Cost MI Br,
totresults,cstarbr,Cost Arrest Br,
totresults,cstmrevbr,Cost MIrevasc Br,
totresults,cststrbr,Cost IS Br,
totresults,csthstrbr,Cost HS Br,
totresults,cstihfbr,Cost IHF Br,
